No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
12,Don Chaney,SG,6-5,210,March 22 1946,us US,5,Houston,chanedo01
18,Dave Cowens,C,6-9,230,October 25 1948,us US,3,Florida State,cowenda01
32,Steve Downing,C,6-8,225,September 9 1950,us US,R,Indiana,downist01
29,Hank Finkel,C,7-0,240,April 20 1942,us US,7,Dayton,finkeha01
20,Phil Hankinson,SF,6-8,195,July 26 1951,us US,R,Penn,hankiph01
17,John Havlicek,SF,6-5,203,April 8 1940,us US,11,Ohio State,havlijo01
11,Steve Kuberski,PF,6-8,215,November 6 1947,us US,4,Bradley,kuberst01
19,Don Nelson,SF,6-6,210,May 15 1940,us US,11,Iowa,nelsodo01
35,Paul Silas,PF,6-7,220,July 12 1943,us US,9,Creighton,silaspa01
44,Paul Westphal,SG,6-4,195,November 30 1950,us US,1,USC,westppa01
10,Jo Jo White,PG,6-3,190,November 16 1946,us US,4,Kansas,whitejo01
7,Art Williams,PG,6-1,180,September 29 1939,us US,6,Cal Poly Pomona,williar01
