No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
28,Jim Barnes,C,6-8,210,April 13 1941,us US,4,Texas-El Paso,barneji01
7,Em Bryant,PG,6-1,175,November 4 1938,us US,4,DePaul,bryanem01
12,Don Chaney,SG,6-5,210,March 22 1946,us US,R,Houston,chanedo01
11,Mal Graham,PG,6-1,185,February 23 1945,,1,NYU,grahama01
17,John Havlicek,SG,6-5,203,April 8 1940,us US,6,Ohio State,havlijo01
18,Bailey Howell,PF,6-7,210,January 20 1937,us US,9,Mississippi State,howelba01
26,Rich Johnson,C,6-7,210,December 18 1946,,R,Grambling State University,johnsri01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,11,NC Central,jonessa01
19,Don Nelson,SF,6-6,210,May 15 1940,us US,6,Iowa,nelsodo01
29,Bud Olsen,PF,6-8,220,July 25 1940,us US,6,Louisville,olsenbu01
6,Bill Russell,C,6-10,215,February 12 1934,us US,12,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us US,8,NYU,sandeto01
20,Larry Siegfried,PG,6-3,190,May 22 1939,us US,5,Ohio State,siegfla01
