No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
42,Jerome Anderson,SG,6-5,195,October 9 1953,us US,R,West Virginia,anderje01
34,Jim Ard,C,6-8,215,September 19 1948,us US,5,Cincinnati,ardji01
31,Tom Boswell,PF,6-9,220,October 2 1953,us US,R,South Carolina State South Carolina,bosweto01
18,Dave Cowens,C,6-9,230,October 25 1948,us US,5,Florida State,cowenda01
17,John Havlicek,SF,6-5,203,April 8 1940,us US,13,Ohio State,havlijo01
33,Steve Kuberski,C,6-8,215,November 6 1947,us US,6,Bradley,kuberst01
30,Glenn McDonald,SF,6-6,190,March 18 1952,us US,1,Cal State Long Beach,mcdongl01
19,Don Nelson,SF,6-6,210,May 15 1940,us US,13,Iowa,nelsodo01
11,Charlie Scott,SG,6-5,175,December 15 1948,us US,5,UNC,scottch01
32,Ed Searcy,SF,6-6,210,April 17 1952,us US,R,St. John's,searced01
35,Paul Silas,PF,6-7,220,July 12 1943,us US,11,Creighton,silaspa01
27,Kevin Stacom,SG,6-3,185,September 4 1951,us US,1,Holy Cross Providence,stacoke01
10,Jo Jo White,PG,6-3,190,November 16 1946,us US,6,Kansas,whitejo01
