No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
4,Carl Braun,PG,6-5,180,September 25 1927,us US,12,Colgate,braunca01
22,Al Butler,PG,6-2,175,July 9 1938,us US,R,Niagara University,butleal01
14,Bob Cousy,PG,6-1,175,August 9 1928,us US,11,Holy Cross,cousybo01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us US,2,George Washington,guarige01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us US,5,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us US,3,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,4,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us US,6,Oregon,loscuji01
21,Gary Phillips,PG,6-3,189,December 7 1939,us US,R,Houston,phillga01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us US,6,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us US,5,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us US,1,NYU,sandeto01
