No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
28,Wayne Embry,C,6-8,240,March 26 1937,us US,9,Miami University,embrywa01
11,Mal Graham,PG,6-1,185,February 23 1945,,R,NYU,grahama01
17,John Havlicek,SG,6-5,203,April 8 1940,us US,5,Ohio State,havlijo01
18,Bailey Howell,PF,6-7,210,January 20 1937,us US,8,Mississippi State,howelba01
27,Johnny Jones,SF,6-7,205,March 12 1943,us US,R,California State University Los Angeles,jonesjo01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,10,NC Central,jonessa01
19,Don Nelson,SF,6-6,210,May 15 1940,us US,5,Iowa,nelsodo01
6,Bill Russell,C,6-10,215,February 12 1934,us US,11,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us US,7,NYU,sandeto01
20,Larry Siegfried,PG,6-3,190,May 22 1939,us US,4,Ohio State,siegfla01
12,Tom Thacker,SG,6-2,170,November 2 1939,us US,3,Cincinnati,thackto01
26,Rick Weitzman,SG,6-2,175,April 30 1946,us US,R,Northeastern University,weitzri01
