No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
17,John Havlicek,SF,6-5,203,April 8 1940,us US,1,Ohio State,havlijo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us US,7,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us US,5,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,6,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us US,8,Oregon,loscuji01
34,Clyde Lovellette,C,6-9,234,September 7 1929,us US,10,Kansas,lovelcl01
21,Johnny McCarthy,PG,6-1,185,April 25 1934,us US,5,Canisius,mccarjo01
12,Willie Naulls,SF,6-6,225,October 7 1934,us US,7,UCLA,naullwi01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us US,8,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us US,7,San Francisco,russebi01
16,Tom Sanders,PF,6-6,210,November 8 1938,us US,3,NYU,sandeto01
20,Larry Siegfried,SG,6-3,190,May 22 1939,us US,R,Ohio State,siegfla01
