No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
17,Gene Conley,PF,6-8,225,November 10 1930,us US,2,Washington State,conlege01
14,Bob Cousy,PG,6-1,175,August 9 1928,us US,9,Holy Cross,cousybo01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us US,R,George Washington,guarige01
15 20,Tom Heinsohn,PF,6-7,218,August 26 1934,us US,3,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us US,1,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,2,NC Central,jonessa01
19,Maurice King,PG,6-2,195,March 12 1935,us US,R,Kansas,kingma01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us US,4,Oregon,loscuji01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us US,4,Kentucky,ramsefr01
16,John Richter,C,6-9,225,March 12 1937,us US,R,NC State,richtjo01
6,Bill Russell,C,6-10,215,February 12 1934,us US,3,San Francisco,russebi01
21,Bill Sharman,SG,6-1,175,May 25 1926,us US,9,USC,sharmbi01
