No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
44,Danny Ainge,SG,6-5,185,March 17 1959,us US,4,BYU,aingeda01
33,Larry Bird,SF,6-9,220,December 7 1956,us US,6,Indiana State University,birdla01
34,Rick Carlisle,SG,6-5,210,October 27 1959,us US,1,University of Maine Virginia,carliri01
3,Dennis Johnson,PG,6-4,185,September 18 1954,us US,9,Harbor College Pepperdine,johnsde01
50,Greg Kite,C,6-11,250,August 5 1961,us US,2,BYU,kitegr01
32,Kevin McHale,PF,6-10,210,December 19 1957,us US,5,Minnesota,mchalke01
00,Robert Parish,C,7-1,230,August 30 1953,us US,9,Centenary (LA),parisro01
12,Jerry Sichting,PG,6-1,168,November 29 1956,us US,5,Purdue,sichtje01
45,David Thirdkill,PF,6-7,195,April 12 1960,us US,3,Bradley,thirdda01
11,Sam Vincent,SG,6-2,185,May 18 1963,us US,R,Michigan State,vincesa01
5,Bill Walton,C,6-11,210,November 5 1952,us US,8,UCLA,waltobi01
8,Scott Wedman,SF,6-7,215,July 29 1952,us US,11,Colorado,wedmasc01
35,Sly Williams,SF,6-7,210,January 26 1958,us US,6,Rhode Island,willisl01
