No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
21,Ron Bonham,SG,6-5,192,May 31 1942,us US,1,Cincinnati,bonharo01
11,Mel Counts,C,7-0,230,October 16 1941,us US,1,Oregon State,countme01
28,Si Green,G-F,6-2,185,August 20 1933,us US,8,Duquesne,greensi01
17,John Havlicek,SF,6-5,203,April 8 1940,us US,3,Ohio State,havlijo01
25,K.C. Jones,PG,6-1,200,May 25 1932,us US,7,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,8,NC Central,jonessa01
12,Willie Naulls,SF,6-6,225,October 7 1934,us US,9,UCLA,naullwi01
19,Don Nelson,SF,6-6,210,May 15 1940,us US,3,Iowa,nelsodo01
6,Bill Russell,C,6-10,215,February 12 1934,us US,9,San Francisco,russebi01
16,Tom Sanders,PF,6-6,210,November 8 1938,us US,5,NYU,sandeto01
18,Woody Sauldsberry,PF,6-7,220,July 11 1934,us US,6,Texas Southern,sauldwo01
20,Larry Siegfried,PG,6-3,190,May 22 1939,us US,2,Ohio State,siegfla01
5,John Thompson,C,6-10,225,September 2 1941,us US,1,Providence,thompjo01
12,Ron Watts,F,6-6,210,May 21 1943,,R,Wake Forest,wattsro01
