No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
44,Danny Ainge,SG,6-5,185,March 17 1959,us US,2,BYU,aingeda01
33,Larry Bird,PF,6-9,220,December 7 1956,us US,4,Indiana State University,birdla01
28,Quinn Buckner,PG,6-3,190,August 20 1954,us US,7,Indiana,bucknqu01
30,M.L. Carr,SF,6-6,205,January 9 1951,us US,8,Guilford College,carrml01
40,Carlos Clark,SG,6-4,210,August 10 1960,us US,R,Ole Miss,clarkca01
43,Gerald Henderson,PG,6-2,175,January 16 1956,us US,4,VCU,hendege01
3,Dennis Johnson,SG,6-4,185,September 18 1954,us US,7,Harbor College Pepperdine,johnsde01
50,Greg Kite,C,6-11,250,August 5 1961,us US,R,BYU,kitegr01
31,Cedric Maxwell,SF,6-8,205,November 21 1955,us US,6,UNC Charlotte,maxwece01
32,Kevin McHale,PF,6-10,210,December 19 1957,us US,3,Minnesota,mchalke01
00,Robert Parish,C,7-1,230,August 30 1953,us US,7,Centenary (LA),parisro01
8,Scott Wedman,SF,6-7,215,July 29 1952,us US,9,Colorado,wedmasc01
