No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
14,Bob Cousy,PG,6-1,175,August 9 1928,us US,12,Holy Cross,cousybo01
21,Jack Foley,F,6-3,170,April 19 1939,us US,R,Holy Cross,foleyja01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us US,3,George Washington,guarige01
17,John Havlicek,SF,6-5,203,April 8 1940,us US,R,Ohio State,havlijo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us US,6,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us US,4,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,5,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us US,7,Oregon,loscuji01
4,Clyde Lovellette,C,6-9,234,September 7 1929,us US,9,Kansas,lovelcl01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us US,7,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us US,6,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us US,2,NYU,sandeto01
12,Dan Swartz,SF,6-4,215,December 23 1934,us US,R,Morehead State University,swartda01
