No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
14,Bob Cousy,PG,6-1,175,August 9 1928,us US,6,Holy Cross,cousybo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us US,R,Holy Cross,heinsto01
20,Dick Hemric,PF,6-6,220,August 29 1933,us US,1,Wake Forest,hemridi01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us US,1,Oregon,loscuji01
16,Jack Nichols,PF,6-7,222,April 9 1926,us US,7,Washington,nichoja01
12,Togo Palazzi,SF,6-4,205,August 8 1932,us US,2,Holy Cross,palazto01
17,Andy Phillip,PG,6-2,195,March 7 1922,us US,9,Illinois,phillan01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us US,1,Kentucky,ramsefr01
19,Arnie Risen,C,6-9,200,October 9 1924,us US,8,Eastern Kentucky University Ohio State,risenar01
6,Bill Russell,C,6-10,215,February 12 1934,us US,R,San Francisco,russebi01
21,Bill Sharman,SG,6-1,175,May 25 1926,us US,6,USC,sharmbi01
29,Lou Tsioropoulos,SF,6-5,190,August 31 1930,us US,R,Kentucky,tsiorlo01
